Cluster,m/z_ion_center,DT_center,Retention Time (sec)_center,Peak Intensity,Amplitude_mz,Amplitude_dt,Amplitude_rt,Sigma_rt
116,273.16050162567177,19.104221361379395,273.17615003865836,1767747.0,1767747.0,1809770.727371244,1767747.0,130.324974999981
117,307.25077118644333,21.25686789391705,15.834472223803322,3422.0,3422.0,3405.814224162408,3422.0,16.45549999998
118,335.1827492116398,21.496681212220174,13.096000000020002,1148.0,1148.0,1161.6799179090867,1148.0,0.0
119,270.30723669072137,21.844297413668283,13.09600000002,1162.0,1162.0,1162.0,1162.0,0.0
120,340.29273465639227,23.287131907675025,14.57476139877548,10147.0,10147.0,10588.006636074226,10147.0,1.2604999999800004
121,377.21931546183987,23.884024552688086,13.096000000020002,2089.0,2089.0,2171.5240319857303,2089.0,0.0
122,377.23956743598427,24.00781013352335,13.096000000019998,1438.0,1438.0,1470.341712359415,1438.0,0.0
123,533.8811329805353,25.22629660414583,14.267468437914154,807.0,807.0,1005.6146043293868,807.0,1.2604999999800004
124,533.8971949844141,24.778699999119233,13.09600000002,189.0,189.0,189.00000011876463,189.0,0.0
125,526.4384788727887,28.25009999999958,14.270751699414127,882.0,882.0,880.876433904035,882.0,1.2604999999800004
126,877.7390540816408,38.78410000000109,13.096000000020002,66.0,66.0,66.00000006965878,66.0,0.0
127,915.8004983923247,40.2204999999913,13.09600000002,291.0,291.0,291.00000055472134,291.0,0.0
128,940.8451468226981,40.60287617354824,13.09600000002,299.0,299.0,299.0,299.0,0.0
129,940.83448575723,40.6745134637741,13.09600000002,326.0,326.0,326.0,326.0,0.0
130,941.8155596556697,40.87482043664474,402.484562616314,476714.0,476714.0,485981.8682269927,406155.0022876015,105.38679094868195
131,941.8262262781811,40.98301328803559,13.715711082252657,3417.0,3417.0,3417.0,3496.2847628588825,2.7738807346222147
132,109.10021171800545,12.20980010082632,14.356000000020002,33.0,33.0,33.00000003431159,33.0,0.0
133,474.8630591402882,24.41960001580365,14.35600000002,342.0,342.0,342.0000002557081,342.0,0.0
134,109.10021171800545,31.841299982974995,14.356000000019998,204.0,204.0,204.00000020429107,204.0,0.0
135,413.26609393206104,36.86879006506723,14.35600000002,330.0,330.0,330.000000460064,330.0,0.0
136,1025.6056038306222,4.548799998279522,15.61699999998,33.0,33.0,33.00000006114169,33.0,0.0
137,142.16131883271635,14.843299999999985,15.616999999979999,312.0,312.0,312.0000002824995,312.0,0.0
138,215.12677002068364,17.172640751399275,72.16549622677745,190980.0,190980.0,187659.32981864785,172059.02639378022,15.729391996521429
139,215.12677002068367,17.076959703190294,15.61699999998,9968.0,9968.0,31552.145578037955,9968.0,0.0
140,273.16050162567177,19.511752,15.61699999998,206.0,206.0,206.0,206.0,0.0
141,256.1765993839262,19.822266097527226,22.65186482167256,2932.0,2932.0,2373.4466591178702,2932.0,10.128
142,257.17335066724513,20.15565598615675,16.28697056622681,1156.0,1156.0,1038.047607263908,1156.0,2.5310000000100006
143,455.2189525404893,24.270624284951904,17.4538863402916,5032.0,5032.0,4499.057130647096,5032.0,2.5310000000100006
144,526.4305041545033,28.010699999785754,15.61699999998,303.0,303.0,303.00000103618663,303.0,0.0
145,604.3005808399547,29.21506292545349,19.488614614985853,10037.0,10037.0,10339.592984068733,12721.011484268356,1.7285889632666416
