Spectrum Number,MS Level,DT,Retention Time (sec),Min m/z,Base Peak m/z,Base Peak Intensity,CCS (Å^2),Cluster
143,1,23.597448,3.2489999999999997,61.98390243027217,141.01658740170942,323.0,206.30253161893276,58
144,1,23.717232,3.2489999999999997,92.92626152497591,141.01658740170942,479.0,196.30961269237622,-1
145,1,23.837016,3.2489999999999997,72.99274051235888,141.01658740170942,317.0,203.44151064034946,59
146,1,23.9568,3.2489999999999997,72.99274051235888,116.97311908240987,192.0,204.4609295131165,59
147,1,24.076584,3.2489999999999997,61.98663586246479,141.02071032410186,244.0,210.47796724630092,60
148,1,24.196368,3.2489999999999997,61.98663586246479,141.02071032410186,244.0,211.52218005690784,60
149,1,24.316152,3.2489999999999997,61.98663586246479,141.01658740170942,371.0,212.5663928675148,60
150,1,24.435936,3.2489999999999997,61.98663586246479,141.01658740170942,553.0,213.61060567812174,60
151,1,24.55572,3.2489999999999997,59.010957116127756,141.01658740170942,505.0,216.3325244388136,61
152,1,24.675504,3.2489999999999997,59.010957116127756,141.01658740170942,387.0,217.3848986410811,61
153,1,24.795288,3.2489999999999997,59.010957116127756,141.01658740170942,205.0,218.43727284334858,61
154,1,24.915072,3.2489999999999997,116.9656091510519,141.01658740170942,94.0,201.22904303267572,62
155,1,25.034856,3.2489999999999997,116.9656091510519,116.96936405803875,91.0,202.19386418248857,62
156,1,25.15464,3.2489999999999997,94.92153562969149,116.97311908240987,105.0,207.66593275734476,-1
157,1,25.274424,3.2489999999999997,61.98663586246479,116.97687410993895,116.0,220.92009535237028,63
158,1,25.394208,3.2489999999999997,61.98663586246479,141.02071032410186,164.0,221.9643081629772,63
159,1,25.513992,3.2489999999999997,61.98663586246479,61.98936935492852,143.0,223.00852097358413,63
160,1,25.633776,3.2489999999999997,61.98390243027217,61.98936935492852,168.0,224.05427120885574,64
161,1,25.75356,3.2489999999999997,59.01362418982685,141.01658740170942,191.0,226.85461657584938,65
162,1,25.873344,3.2489999999999997,59.010957116127756,141.01658740170942,191.0,227.9086406637559,66
163,1,25.993128,3.2489999999999997,59.010957116127756,61.98936935492852,158.0,228.9610148660234,66
164,1,26.112912,3.2489999999999997,59.010957116127756,116.97311908240987,170.0,230.0133890682909,66
165,1,26.232696,3.2489999999999997,61.98390243027217,116.97311908240987,165.0,229.27537108824484,67
166,1,26.35248,3.2489999999999997,61.98390243027217,116.97311908240987,159.0,230.31959106412265,67
167,1,26.472264,3.2489999999999997,61.98390243027217,141.01246449970614,223.0,231.36381104000046,67
168,1,26.592048,3.2489999999999997,61.98390243027217,141.01246449970614,134.0,232.40803101587827,67
169,1,26.711832,3.2489999999999997,61.98390243027217,141.01246449970614,134.0,233.45225099175613,67
170,1,26.831616,3.2489999999999997,61.98390243027217,116.96936405803875,73.0,234.49647096763394,67
171,1,26.9514,3.2489999999999997,61.98390243027217,61.98663586246479,115.0,235.54069094351175,67
172,1,27.071184,3.2489999999999997,61.98390243027217,61.98663586246479,130.0,236.58491091938956,67
173,1,27.190968,3.2489999999999997,61.98390243027217,61.98936935492852,162.0,237.62913089526742,67
174,1,27.310752,3.2489999999999997,61.98390243027217,61.98936935492852,107.0,238.67335087114523,67
175,1,27.430536,3.2489999999999997,61.98663586246479,116.97311908240987,179.0,239.7159259432951,68
176,1,27.55032,3.2489999999999997,61.98663586246479,116.97311908240987,179.0,240.76013875390205,68
177,1,27.670104,3.2489999999999997,61.98663586246479,141.02071032410186,244.0,241.80435156450898,68
178,1,27.789888,3.2489999999999997,61.98663586246479,141.02071032410186,137.0,242.84856437511593,68
179,1,27.909672,3.2489999999999997,61.98663586246479,61.98936935492852,175.0,243.89277718572285,68
180,1,28.029456,3.2489999999999997,61.98663586246479,61.98936935492852,122.0,244.9369899963298,68
181,1,28.14924,3.2489999999999997,61.98663586246479,61.98936935492852,50.0,245.98120280693672,68
182,1,28.269024,3.2489999999999997,61.98663586246479,61.98936935492852,46.0,247.02541561754367,68
183,1,28.388808,3.2489999999999997,61.98663586246479,116.96936405803875,98.0,248.06962842815062,68
184,1,28.508592,3.2489999999999997,61.98663586246479,116.96936405803875,98.0,249.11384123875754,68
185,1,28.628376,3.2489999999999997,59.010957116127756,116.96936405803875,181.0,252.113247315908,69
186,1,28.74816,3.2489999999999997,59.010957116127756,116.96936405803875,83.0,253.1656215181755,69
187,1,28.867944,3.2489999999999997,59.010957116127756,116.96936405803875,83.0,254.217995720443,69
188,1,28.987728,3.2489999999999997,61.98663586246479,61.98936935492852,69.0,253.2906924811853,68
189,1,29.107512,3.2489999999999997,61.98663586246479,61.98936935492852,35.0,254.3349052917922,68
190,1,29.227296,3.2489999999999997,61.98663586246479,141.01658740170942,134.0,255.37911810239913,68
191,1,29.34708,3.2489999999999997,61.98663586246479,141.01658740170942,134.0,256.42333091300605,68
192,1,29.466864,3.2489999999999997,61.98663586246479,141.01658740170942,134.0,257.467543723613,68
193,1,29.586648,3.2489999999999997,61.98663586246479,61.99210290766338,35.0,258.51175653421996,68
194,1,29.706432,3.2489999999999997,59.010957116127756,141.01658740170942,59.0,261.5846151363154,70
195,1,29.826216,3.2489999999999997,59.010957116127756,141.01658740170942,59.0,262.63698933858285,70
196,1,29.946,3.2489999999999997,59.010957116127756,61.98936935492852,76.0,263.68936354085037,70
197,1,30.065784,3.2489999999999997,61.98390243027217,61.98936935492852,76.0,262.6904103163351,71
198,1,30.185568,3.2489999999999997,61.98663586246479,61.98936935492852,64.0,263.73282058725465,68
199,1,30.305352,3.2489999999999997,61.98663586246479,61.98936935492852,36.0,264.77703339786154,68
200,1,30.425136,3.2489999999999997,61.98663586246479,116.96936405803875,75.0,265.8212462084685,68
201,1,30.54492,3.2489999999999997,72.98977431313443,116.96936405803875,75.0,260.530435426828,72
202,1,30.664704,3.2489999999999997,61.98390243027217,141.01246449970614,131.0,267.9115101957242,71
203,1,30.784488,3.2489999999999997,116.97687410993895,141.01246449970614,131.0,248.50296780259814,73
204,1,30.904272,3.2489999999999997,116.97687410993895,141.01246449970614,131.0,249.46777997774248,73
205,1,31.383408,3.2489999999999997,61.98663586246479,61.98936935492852,40.0,274.174948693324,74
206,1,31.503192,3.2489999999999997,61.98663586246479,61.98936935492852,75.0,275.21916150393093,74
207,1,31.622976,3.2489999999999997,61.98663586246479,61.98936935492852,111.0,276.2633743145379,74
208,1,31.74276,3.2489999999999997,61.98663586246479,61.98936935492852,71.0,277.3075871251448,74
209,1,31.862544,3.2489999999999997,61.98663586246479,61.98936935492852,36.0,278.3517999357517,74
210,1,31.982328,3.2489999999999997,141.02071032410186,141.02483334664103,23.0,253.86440112533958,75
211,1,32.102112,3.2489999999999997,141.02071032410186,141.02483334664103,23.0,254.81319225949503,75
212,1,32.221896,3.2489999999999997,61.98390243027217,141.02483334664103,23.0,281.4863698821359,76
213,1,32.34168,3.2489999999999997,61.98390243027217,61.98663586246479,21.0,282.5305898580136,76
214,1,32.461464,3.2489999999999997,61.98390243027217,61.98663586246479,21.0,283.5748098338915,76
215,1,32.820816,3.2489999999999997,59.010957116127756,59.01362418982685,22.0,288.9463443952699,77
216,1,32.9406,3.2489999999999997,59.010957116127756,59.01362418982685,22.0,289.9987185975374,77
217,1,33.060384,3.2489999999999997,59.010957116127756,59.01362418982685,22.0,291.05109279980485,77
218,1,33.419736,3.2489999999999997,59.01362418982685,59.01629132379705,26.0,294.2060756821154,78
219,1,33.53952,3.2489999999999997,59.01362418982685,61.98936935492852,33.0,295.2584422306508,78
220,1,33.659304,3.2489999999999997,59.01362418982685,61.98936935492852,33.0,296.3108087791862,78
221,1,33.779088,3.2489999999999997,61.98663586246479,141.01658740170942,56.0,295.0592049054627,79
222,1,33.898872,3.2489999999999997,141.01246449970614,141.01658740170942,123.0,269.04636264330384,80
223,1,34.018656,3.2489999999999997,141.01246449970614,141.01658740170942,100.0,269.99515837381693,80
224,1,34.13844,3.2489999999999997,92.92626152497591,141.01658740170942,67.0,282.3209261972041,81
225,1,34.258224,3.2489999999999997,92.92626152497591,92.92960839653931,25.0,283.30956198461587,81
226,1,34.378008,3.2489999999999997,92.92291471368364,116.96936405803875,45.0,284.2993834377937,82
227,1,34.497792,3.2489999999999997,92.92291471368364,116.96936405803875,45.0,285.28802334831147,82
228,1,34.617576,3.2489999999999997,116.9656091510519,116.96936405803875,21.0,279.379556167514,83
229,1,37.013256,3.2489999999999997,61.98663586246479,61.98936935492852,53.0,323.2529507918499,84
230,1,37.13304,3.2489999999999997,61.98663586246479,61.98936935492852,53.0,324.29716360245686,84
231,1,37.252824,3.2489999999999997,61.98663586246479,61.98936935492852,42.0,325.34137641306376,84
232,1,43.242024,3.2489999999999997,61.98390243027217,61.98663586246479,33.0,377.55460766289536,85
233,1,43.361808,3.2489999999999997,61.98390243027217,61.98663586246479,85.0,378.59882763877323,85
234,1,43.481592,3.2489999999999997,61.98390243027217,61.98663586246479,128.0,379.643047614651,85
235,1,43.601376,3.2489999999999997,61.98390243027217,61.98663586246479,95.0,380.68726759052885,85
236,1,43.72116,3.2489999999999997,61.98390243027217,61.98663586246479,43.0,381.73148756640666,85
237,1,44.799216,3.2489999999999997,61.98936935492852,61.99210290766338,25.0,391.1240997724006,86
238,1,44.919,3.2489999999999997,61.98936935492852,61.99210290766338,25.0,392.16830541816137,86
239,1,45.038784,3.2489999999999997,61.98936935492852,61.99210290766338,25.0,393.21251106392225,86
240,1,45.158568,3.2489999999999997,59.01362418982685,59.01629132379705,30.0,397.33799743858526,87
241,1,45.278352,3.2489999999999997,59.01362418982685,59.01629132379705,30.0,398.3903639871207,87
242,1,45.398136,3.2489999999999997,59.01362418982685,59.01629132379705,30.0,399.4427305356561,87
