m/z_ion_center,CCS (Å^2),Peak Intensity
751.0145,274.55,329
751.0241,274.81,213
751.0336,274.69,236
751.0431,274.76,235
751.0526,275.19,382
751.0716,275.0,312
751.0907,275.02,214
751.1002,274.62,264
751.1097,275.11,431
751.1192,274.65,237
751.1287,274.48,146
751.1382,274.62,121
751.1858,275.32,111
751.2048,268.96,78
751.2144,274.8,103
751.2239,274.85,269
751.2524,274.74,140
751.281,274.88,46
751.3095,275.14,152
751.319,275.4,131
751.3952,275.11,443
751.4047,275.31,678
751.4142,275.08,647
751.4237,274.83,579
751.7569,275.09,1161
751.7664,275.04,1025
751.7759,275.18,876
751.814,274.83,660
751.8235,274.97,770
751.833,275.05,780
751.8425,274.87,514
751.8521,274.82,742
751.8616,274.86,688
751.8711,275.03,655
751.8806,274.66,379
751.8997,275.24,392
751.9092,275.0,370
751.9377,274.7,387
751.9473,274.91,351
751.9568,275.06,228
751.9663,274.81,246
751.9853,274.73,286
751.9949,275.1,233
752.0044,274.46,190
752.0139,275.5,167
752.1282,274.6,151
752.3662,274.35,48
752.4234,275.17,244
752.4519,275.5,87
752.671,275.19,728
752.6805,275.04,524
752.69,275.26,307
752.6996,274.98,239
752.7662,274.32,47
753.6143,275.29,640
754.5105,277.87,1689
754.5963,276.14,585
755.4645,276.23,1352
755.474,276.49,2784
755.4835,276.46,2686
755.579,277.06,355
756.5814,276.31,1954
757.5462,277.75,551
757.5558,276.53,327
757.5653,276.78,173
757.5749,277.21,230
758.4925,273.85,65
758.5021,273.63,81
758.5117,274.08,77
758.569,275.59,1984
758.5786,275.56,755
759.516,275.13,173
762.5139,275.69,671
762.5522,276.45,2709
762.5618,276.23,1150
763.5304,276.48,1153
763.54,276.16,1707
763.5496,275.82,1092
763.5592,275.76,538
764.5573,277.04,3336
765.5176,277.0,30
766.4305,275.91,324
766.4497,275.55,572
766.4593,275.51,918
766.4689,275.78,1264
766.69,275.56,2404
766.6996,275.57,2048
766.7092,275.55,1729
766.7188,275.52,1282
766.7285,275.54,1036
766.7381,275.51,823
766.7477,275.78,723
767.44,275.91,481
767.4496,275.96,449
767.4593,275.75,792
767.4689,275.82,1109
767.6516,275.7,2983
767.6613,275.73,2615
767.6709,275.73,2134
767.6805,275.84,1517
767.6998,275.62,808
767.7286,275.74,504
767.7767,275.33,369
768.4984,275.92,599
768.6139,277.11,3346
768.6235,276.7,2159
768.6331,276.52,1480
768.662,276.06,761
769.5864,277.15,4791
770.5209,278.92,5763
770.5306,278.15,10932
770.6077,278.13,17567
771.5428,277.77,12909
771.5911,277.41,21062
771.6007,277.55,11459
772.5558,278.38,14886
772.5654,278.28,29314
772.5751,278.33,34724
772.5847,278.37,28095
772.5944,278.37,18946
774.516,279.06,52407
774.5546,278.86,110161
774.5643,278.84,73524
775.5212,279.14,30155
775.5309,279.0,65151
775.5502,278.94,62453
775.5599,278.93,43069
776.5367,279.45,69011
776.5464,279.45,104114
776.5561,279.45,99605
776.5658,279.45,74313
1080.915,272.15,25
118.9755,308.78,255
610.4347,275.52,43
624.5229,276.02,25
696.5868,275.18,43
709.6503,275.52,83
711.6032,275.62,242
713.6051,275.49,95
735.501,274.6,26
738.5832,274.66,77
740.481,275.58,90
741.5678,276.44,481
741.6057,275.93,478
746.5967,274.44,49
747.3938,276.09,57
747.4033,276.12,283
747.5362,274.46,72
750.3962,275.59,53
750.986,275.19,378
751.0811,274.79,341
751.1478,281.94,131
751.1573,274.75,217
751.1668,275.44,302
751.1763,274.69,179
751.2334,275.32,99
751.2429,274.66,125
751.2619,275.04,228
751.2714,274.67,166
751.3286,274.96,45
751.3381,275.19,66
751.3476,274.65,70
751.3571,275.04,214
751.3666,275.02,79
751.3761,275.62,217
751.3857,274.91,212
751.9187,274.82,396
751.9282,275.04,354
751.9758,274.94,280
752.0234,275.01,55
752.033,261.41,135
752.0425,275.34,94
752.052,275.82,204
752.0615,274.97,44
752.071,274.96,121
752.0806,275.07,170
752.0901,274.85,142
752.0996,275.0,70
752.1091,274.69,44
752.1186,274.12,71
752.1377,273.52,124
752.1472,274.09,22
752.1567,274.81,116
752.1758,275.02,90
752.3281,274.99,22
752.3758,275.38,26
752.3853,274.55,77
752.3948,275.0,47
752.4043,274.53,22
752.4138,275.41,106
752.4329,274.81,148
752.4424,275.15,193
752.7091,275.32,71
752.7186,275.02,137
752.7282,275.26,119
752.7377,275.26,107
752.7472,274.52,68
752.7567,276.24,47
752.7758,274.29,99
753.5094,274.58,82
753.6238,275.11,193
755.4549,275.02,54
755.4931,276.65,1301
755.5026,276.44,404
756.4954,274.71,72
756.5909,276.46,1416
757.508,275.24,54
758.5212,275.12,140
758.5308,276.72,383
758.5404,276.06,239
759.5256,275.61,178
759.5352,275.46,97
764.5669,277.11,2077
765.5272,275.79,87
765.5368,276.97,469
765.556,277.5,1333
766.4112,276.5,52
766.4208,275.77,128
766.4401,275.7,365
766.7573,275.71,602
766.7669,275.64,579
766.7765,275.74,449
766.7861,275.66,438
766.7958,275.68,289
766.8054,275.52,248
766.815,275.91,356
766.8246,275.65,322
766.8342,275.73,274
766.8534,275.33,240
766.8919,274.69,24
766.988,275.62,131
767.1515,274.68,64
767.1708,274.42,22
767.1804,275.14,44
767.4016,275.11,137
767.4112,275.63,161
767.4208,276.07,212
767.4304,275.94,350
767.6901,275.82,1010
767.7094,275.66,802
767.719,275.66,662
767.7382,275.68,553
767.7478,275.61,525
767.7575,275.66,549
767.7671,275.88,392
767.7863,275.64,366
767.7959,275.39,208
767.8056,275.93,238
767.8537,275.98,179
767.8729,275.54,153
767.8825,275.45,215
767.8921,275.76,121
767.9018,275.16,174
767.921,275.76,21
767.9306,274.72,23
767.9595,275.02,108
768.4503,275.7,162
768.4695,276.46,219
768.4791,276.69,203
768.4888,276.3,302
768.6428,276.21,1125
768.6524,276.22,930
768.6716,276.23,479
769.596,281.26,6752
769.6056,281.94,13561
769.6153,282.06,14296
770.6173,279.16,9986
770.6269,279.75,5563
771.5332,278.63,3577
771.6103,279.31,6095
772.5172,278.5,1432
772.5268,279.5,2603
772.5365,279.77,3865
772.5461,279.14,5668
772.604,278.46,11317
773.5694,278.76,9383
773.579,278.6,11897
773.5887,278.6,9489
773.5983,278.57,6288
774.5063,279.11,10774
774.574,278.83,47075
774.5836,278.86,29617
775.5695,278.92,26601
775.5792,278.94,15402
776.5271,279.46,24992
776.5754,279.45,48503
776.5851,279.46,28634
777.5433,279.6,30918
777.5529,279.57,40456
777.5626,279.53,34865
777.5723,279.51,24325
778.5601,280.0,18436
1146.9708,275.76,970
94.9249,308.24,71
328.9806,285.65,190
328.9931,282.92,160
626.494,276.4,23
692.6064,277.23,164
692.6156,277.01,251
706.6199,280.16,8936
706.6291,280.0,10614
706.6383,279.95,7956
706.6476,279.96,4508
711.5661,276.28,54
713.5958,275.68,43
735.5575,275.99,26
735.5763,275.85,89
739.6215,275.5,24
745.601,279.81,63
747.4128,276.42,257
749.5785,278.07,115
751.2905,275.58,158
751.3,275.69,80
752.1853,275.19,68
752.2424,275.56,43
752.4615,275.69,109
754.5009,278.28,87
755.5885,277.52,220
756.4763,276.75,355
756.4859,276.94,202
756.6005,276.34,387
757.4411,277.07,300
757.4507,276.78,347
757.4602,276.51,140
757.4793,276.58,152
758.5882,276.06,242
758.6168,280.04,485
759.4969,276.1,47
759.5447,278.02,25
759.5543,276.81,142
759.5638,276.65,548
762.5714,276.11,165
763.5208,277.04,137
763.5688,275.8,77
764.4997,275.82,59
764.5765,277.35,1092
765.4984,275.26,29
765.508,275.91,94
765.5464,277.48,1494
765.5656,277.3,932
766.8438,275.56,130
766.863,274.35,192
766.8727,276.08,123
766.8823,275.63,154
766.9111,275.46,138
766.9304,276.41,57
766.9496,275.78,88
766.9592,275.48,46
766.9688,276.19,148
766.9784,275.83,82
766.9977,275.77,137
767.0073,275.46,88
767.0169,275.54,143
767.0265,275.93,89
767.0457,275.2,120
767.1131,275.18,54
767.1227,275.73,70
767.1323,275.76,113
767.1611,275.21,43
767.2188,275.41,65
767.2284,276.1,28
767.2958,275.29,27
767.3342,275.79,31
767.3439,275.47,46
767.3823,274.15,50
767.3919,275.57,123
767.8152,275.99,171
767.8248,275.52,200
767.8344,275.82,173
767.8441,274.7,189
767.8633,275.29,96
767.9499,275.73,84
767.9691,275.54,93
768.0172,275.55,74
768.0557,275.43,73
768.431,274.87,24
768.4599,276.09,205
768.6813,276.17,356
768.6909,276.0,88
768.7102,276.11,129
768.7198,275.66,173
769.5093,276.95,378
769.6249,282.07,10105
769.6345,282.13,5831
770.5016,278.51,1003
770.5113,279.0,3234
770.6366,279.69,3274
770.6462,279.11,1913
771.5235,279.35,1929
771.62,282.42,9462
771.6296,282.98,10163
772.5075,277.62,521
772.6137,278.81,5807
772.6233,280.69,3576
773.5597,278.73,4276
773.608,278.57,3389
774.5933,278.82,17973
774.603,278.83,10920
774.6126,278.89,6914
775.5115,279.16,7317
775.5889,279.01,8334
775.5986,287.42,7313
776.5174,279.48,5743
776.5948,279.5,16207
777.5336,279.69,13216
777.582,279.57,14747
778.5504,280.29,16145
778.5698,279.85,15056
778.5795,279.92,10357
780.5473,281.5,3412
780.557,281.32,3072
780.5667,280.77,2994
1147.9725,274.79,196
1148.9701,274.78,79
216.9879,291.42,66
216.993,288.98,100
311.1679,283.69,21
528.969,287.36,180
692.6247,276.73,26
704.6094,279.49,1179
706.6107,280.23,3944
706.6568,279.98,2126
707.6262,280.06,3987
707.6355,280.09,3981
707.6447,280.06,2603
711.5846,276.53,27
711.5939,276.58,32
741.6151,276.2,48
745.6105,275.01,46
748.4003,276.32,23
748.4098,276.32,53
749.588,277.64,209
754.6058,276.13,50
756.4668,277.32,92
756.61,276.99,71
757.5844,277.11,198
757.594,278.98,342
757.6036,279.63,1610
759.5734,277.47,165
759.583,276.7,83
762.581,276.73,24
764.5861,277.87,141
765.5752,277.57,338
766.9015,277.12,44
766.9207,276.1,168
767.0938,276.2,21
767.1034,276.18,23
767.3535,276.38,50
767.3727,276.07,46
767.9787,276.37,48
768.0461,273.63,47
768.2193,276.58,51
768.4118,276.03,45
768.4214,276.29,67
768.4407,276.12,97
768.7005,276.27,177
770.6558,277.63,1314
770.6655,277.39,676
770.6751,277.19,438
770.6848,277.33,231
771.5139,279.37,896
771.6393,283.23,8228
772.633,282.35,3952
773.5211,278.5,447
773.5307,279.67,951
773.5404,280.29,1175
773.5501,279.79,1297
773.6176,278.65,1445
774.487,279.25,945
774.4967,279.32,2371
774.6223,278.81,4376
774.6319,278.88,3040
774.6416,278.77,2373
775.5019,279.34,1516
775.6082,287.42,8081
775.6179,287.47,5209
776.6045,279.6,8725
776.6141,279.54,4827
777.5917,279.53,8171
777.6014,279.52,4145
778.5408,281.01,11710
778.5892,283.84,5988
779.5583,280.57,4618
779.568,280.12,5006
779.5776,279.86,3600
780.5376,281.19,3317
781.4982,280.76,18002
781.5079,280.69,11772
781.5176,280.7,6296
792.5336,280.9,18234
792.5434,280.84,24110
792.5532,280.82,21050
792.563,280.87,14132
1394.902,278.06,7596
72.9957,326.15,26
328.9742,297.43,251
528.953,283.74,176
528.961,284.58,172
704.6186,279.73,810
704.6278,278.67,130
705.6143,278.82,154
706.6014,280.05,204
706.666,280.16,925
707.617,280.0,1912
707.6539,280.09,1127
747.4223,277.23,51
749.3979,277.2,21
755.598,279.16,280
757.6131,279.75,1979
757.6227,279.73,1124
761.4788,277.05,32
765.5849,278.38,50
767.0554,277.13,27
768.7679,276.91,47
769.4901,277.07,50
769.4997,277.26,52
770.492,280.01,77
770.6944,277.29,65
771.5043,278.96,149
771.6489,283.14,4755
773.5114,278.0,136
773.6273,278.28,432
774.4773,279.46,318
774.6513,278.74,1865
774.6609,278.86,1307
774.6706,278.73,993
774.6802,278.76,635
775.6276,287.57,2663
775.6372,287.44,991
775.6469,279.0,484
776.5077,279.75,1278
776.6238,279.48,3000
776.6335,279.36,1801
777.5239,279.45,3001
777.611,287.55,2107
778.5214,282.0,7650
778.5311,281.88,9968
778.5989,288.26,4334
779.5486,281.34,3796
779.5874,279.91,2044
779.597,288.64,1425
780.5279,281.09,1638
780.5764,280.62,2822
781.4788,280.86,15093
781.4885,280.74,21064
781.537,280.66,1337
781.5468,281.61,861
781.5565,281.13,798
781.5662,280.83,537
782.4885,280.82,7826
782.4982,280.8,7367
782.508,280.84,5194
784.5683,280.99,8657
784.578,280.94,8473
785.58,280.82,3030
790.5214,280.28,2955
790.5312,280.04,3684
790.541,279.98,2730
790.5507,280.07,1294
792.5239,280.94,7345
792.5727,280.88,7937
792.5825,280.96,3926
793.5407,280.96,9761
793.5505,280.92,10637
793.5602,281.01,7720
828.4208,279.2,685
1394.8545,274.44,44
1395.9051,277.97,1611
121.9401,303.73,35
142.0202,301.03,39
143.9965,298.88,25
588.9926,279.89,55
704.6002,279.31,308
705.6235,279.43,100
705.6327,279.07,63
707.6632,280.29,311
708.624,280.0,269
708.6333,279.22,504
708.6425,279.42,327
737.5928,278.17,21
737.6022,278.22,30
749.607,278.5,36
758.5977,278.07,66
758.6073,279.68,178
758.6264,279.77,195
760.5402,278.01,21
765.5945,279.93,22
769.6442,282.21,2944
769.6538,282.32,723
772.4979,277.98,174
772.6426,283.06,2824
773.637,277.99,72
774.4194,280.65,957
774.429,280.57,788
774.458,278.98,45
774.4677,279.42,201
774.6899,278.84,247
774.6996,278.78,185
774.7092,278.46,138
775.4729,278.9,123
775.4825,278.67,45
775.4922,279.13,420
775.6566,278.78,313
776.498,279.99,373
776.6432,279.43,1247
776.6528,279.28,900
776.6625,279.44,659
776.6722,279.48,385
776.6819,279.4,208
777.5142,279.14,274
777.6207,279.57,984
778.5117,281.87,3753
778.6086,288.16,2677
778.6182,288.05,1183
779.5292,282.04,3648
779.5389,281.97,3939
780.5182,281.59,405
780.5862,280.48,1978
780.5959,280.75,999
781.4691,280.83,4697
781.5274,280.51,2789
781.5759,280.53,428
781.5856,290.0,178
782.4788,281.07,3975
782.5177,280.83,2982
782.5274,280.78,1490
784.5586,281.03,4379
784.5877,280.97,6338
784.5975,280.89,3436
785.5216,278.33,26
785.5313,278.5,71
791.5272,280.85,1199
791.537,280.64,1172
793.5309,281.08,4666
793.57,280.86,4599
793.5798,281.02,2305
794.5386,290.65,4812
794.5484,281.55,6858
794.5582,281.6,8325
794.5679,281.56,6727
794.5777,281.68,4129
796.5559,282.18,6493
796.5657,282.26,15030
796.5755,282.32,19651
796.5853,282.36,16379
796.5951,282.32,10880
828.4008,280.22,183
828.4108,279.7,510
828.4308,279.09,419
217.0032,291.04,130
217.0084,291.04,57
428.953,283.15,79
428.9961,283.15,77
707.6078,279.34,90
728.606,280.51,63
728.6154,280.13,182
755.6171,278.93,25
757.6322,279.97,415
759.6021,278.9,25
761.45,279.38,168
763.5976,282.16,2488
763.6072,282.15,1839
769.6634,282.48,93
771.6586,283.39,2143
772.6523,282.97,1103
773.5018,278.81,25
775.4245,280.61,225
775.4342,279.66,131
775.6662,278.94,253
775.6759,278.75,94
775.6856,278.96,100
775.7049,279.02,67
776.4206,279.52,80
776.6916,279.2,93
777.4561,279.46,122
777.5045,276.72,98
777.6304,279.39,669
778.6279,283.79,141
779.5098,281.97,515
779.5195,281.87,2163
779.6067,288.81,729
780.4988,278.77,22
782.5371,280.34,395
783.4892,281.09,1264
783.4989,281.21,1792
783.5086,281.23,1711
783.5184,281.4,433
784.5294,281.26,716
784.5391,281.58,1426
784.5488,281.16,1581
784.6072,280.85,1127
785.5411,280.52,213
785.5508,281.16,233
785.5605,281.2,798
785.5703,280.94,2522
785.5897,280.95,2070
785.5995,280.98,1030
790.5117,280.45,748
790.5605,280.34,448
791.5468,280.51,663
792.5141,281.31,857
792.5923,281.01,1763
793.5896,281.17,1016
794.5875,281.72,1743
795.5469,281.87,1443
795.5567,281.95,2706
795.5665,282.11,2647
796.6049,282.43,6464
796.6147,283.49,3566
797.5655,282.08,5566
797.5753,282.35,8137
797.5851,282.42,7525
797.5949,282.29,5226
797.6047,282.47,3137
798.5856,282.59,2605
828.4408,277.69,87
829.4204,279.75,110
829.4304,278.98,46
328.9994,286.22,22
429.9747,284.02,31
647.621,280.65,24
706.6753,280.2,104
728.6247,280.15,138
758.636,279.79,21
763.588,282.44,1341
763.6168,282.35,1172
764.6053,282.31,505
764.6149,282.03,445
764.6245,281.83,80
774.4097,281.23,336
774.4387,280.86,371
774.4484,280.22,70
775.4149,280.53,206
776.4303,279.95,90
776.4884,279.87,88
777.4464,279.67,51
778.502,281.9,632
780.6056,280.8,107
781.5953,279.72,31
782.5468,283.53,199
783.4795,281.61,287
783.5281,281.05,121
784.5099,280.74,27
785.6092,281.07,54
786.5729,280.9,48
790.5019,279.97,28
790.5702,280.83,89
791.5175,280.91,289
792.602,280.96,638
793.5211,281.4,753
794.5288,290.85,3263
795.5763,282.45,1734
796.5461,282.39,1497
796.6245,285.74,4912
797.5557,281.92,1358
797.6145,283.36,1508
798.5757,282.42,1918
798.5954,282.74,1907
800.549,283.22,2605
59.011,336.07,89
118.9642,307.23,74
528.977,289.07,67
693.5296,286.52,1530
693.5387,286.88,2234
693.5479,286.8,1752
693.557,287.19,829
694.5448,286.59,644
708.6518,281.01,79
727.641,281.38,60
763.6264,282.34,323
764.5957,281.94,582
776.411,280.56,23
781.4594,281.44,115
782.4691,281.15,188
782.5565,288.79,241
783.4503,281.4,21
783.46,280.93,64
784.5197,281.39,198
784.6169,284.52,637
786.5826,282.73,143
788.5508,281.69,362
788.5606,281.88,355
791.5565,280.76,166
792.6118,280.46,43
793.5994,280.49,125
794.519,290.45,302
794.5973,282.08,455
795.5371,290.57,648
796.6343,286.43,5618
798.5659,282.22,452
798.6052,282.47,1026
799.5866,282.25,87
800.5392,282.97,1975
800.5589,283.35,2385
800.5687,283.37,1354
801.5513,283.29,1051
803.4791,284.16,3904
829.4104,280.49,83
1181.92,279.27,32
146.9571,302.79,167
321.9841,288.28,21
328.9679,289.48,161
677.5398,284.67,87
677.5489,285.47,128
694.5357,286.17,493
701.5346,288.33,1519
701.5438,288.22,2050
763.5784,292.5,1942
765.6041,281.52,23
771.6682,283.28,625
779.6164,288.28,79
782.5662,283.04,158
782.5759,282.89,111
783.4698,282.39,72
783.6155,284.96,2588
783.6253,285.17,4863
784.5002,281.4,21
786.5924,281.71,147
788.541,281.51,206
788.5703,281.52,44
795.498,283.78,1274
795.5077,283.99,1850
795.5175,284.05,1252
795.5861,282.93,519
796.5363,290.88,714
797.5459,283.66,139
797.6243,287.13,3820
798.615,282.58,413
799.5964,281.89,91
800.5294,282.82,441
800.5785,283.72,655
801.5415,282.78,549
801.5612,283.29,1018
802.5444,284.14,595
802.5543,284.08,1511
802.5641,287.29,2311
802.5739,292.86,7657
803.4594,283.86,2109
803.4692,284.12,4363
804.4832,283.8,684
1179.0263,283.4,1010
572.9673,284.51,135
693.5204,287.58,303
763.636,282.41,25
772.6619,282.99,119
779.5001,282.31,24
782.5857,280.74,57
783.6058,284.62,217
783.635,285.34,4499
783.6447,285.3,3069
784.6266,285.28,1637
784.6364,285.48,1784
789.5553,282.4,54
795.4882,283.63,359
795.5273,284.08,470
795.6155,286.56,7542
795.6253,286.64,12340
795.6351,286.68,11682
795.6448,286.69,8050
796.5167,284.85,391
796.6441,286.46,4322
797.6341,287.62,9486
798.6248,286.35,99
798.6346,287.72,2591
799.5768,283.02,45
800.5883,283.79,138
801.5317,282.15,53
801.571,283.69,670
802.5248,283.74,58
802.5838,292.64,12542
802.5936,292.62,11670
803.4496,283.45,74
803.4889,284.28,2390
803.4988,284.32,959
803.5578,284.02,396
803.5677,283.66,601
803.5775,292.94,3331
804.4734,284.14,1032
804.4931,284.08,389
816.5619,290.74,4921
1179.0009,280.6,207
94.9249,331.46,140
528.945,285.51,32
572.9757,285.85,62
693.5661,286.17,460
694.554,286.54,377
694.5631,285.95,122
695.5517,285.55,76
702.5465,288.79,610
783.6544,285.26,1282
784.6461,285.45,992
787.5859,283.61,32
795.5959,286.57,174
795.6057,286.52,1740
795.6546,286.75,4585
796.5265,290.11,225
796.6539,286.43,2397
797.5361,283.88,75
797.6439,287.79,12144
797.6537,287.77,9789
798.5169,283.02,60
801.5808,283.36,155
802.5346,283.44,24
803.5086,284.07,96
803.5873,292.81,5032
804.4635,284.08,57
804.5325,285.95,361
804.5423,286.49,1087
804.562,290.08,2400
804.5719,290.69,3010
804.5817,292.2,5804
805.5865,292.9,2172
807.4994,285.95,647
816.552,292.51,2180
816.5719,290.93,4997
816.5818,292.15,3346
1180.0313,283.51,245
1181.0249,281.96,71
678.5434,284.95,55
678.5524,284.81,46
694.5265,286.98,107
701.553,288.19,1384
701.5622,288.05,753
702.5557,289.19,367
783.6641,285.19,276
789.6041,286.04,226
789.6139,286.66,578
789.6236,286.79,750
795.6644,286.74,2152
796.5069,284.81,303
796.6637,286.44,946
796.6735,285.78,120
797.4772,284.08,115
797.6635,287.82,5949
798.5267,284.03,29
803.5185,283.93,21
804.5522,287.78,1132
804.5916,292.69,11994
805.488,285.28,104
805.5373,285.85,57
805.5471,296.93,328
805.557,293.52,1179
805.5767,293.13,1171
806.5624,290.84,2192
806.6018,292.06,2740
807.4895,285.6,85
807.5093,286.04,1052
807.5191,286.53,585
816.5421,285.1,186
816.5917,292.95,2496
817.5643,291.51,1084
817.5742,291.52,1229
92.933,319.39,21
118.9793,317.45,45
293.1789,301.0,67
693.5753,286.44,81
702.5373,288.1,389
784.6558,285.69,165
787.5956,285.39,64
787.6054,285.28,34
789.6334,286.46,242
790.6191,287.86,80
795.6742,286.48,791
796.4971,284.81,26
797.6734,287.84,2751
798.6444,287.82,4183
798.6542,287.98,3802
798.664,288.1,2489
804.5029,285.04,54
804.6014,292.76,14256
806.5525,287.89,901
806.5723,291.67,3683
806.592,291.8,3362
806.6117,292.59,1835
808.5159,285.27,116
817.5544,292.24,147
817.5841,292.14,859
820.575,294.88,45471
820.585,294.68,46373
1444.8969,284.32,794
146.9656,306.91,21
528.985,288.24,29
573.0006,287.63,47
589.0095,294.5,220
589.0263,294.4,159
695.5425,286.47,60
695.5609,286.42,26
701.5714,287.83,151
795.684,285.77,45
797.6832,287.82,942
798.6739,287.88,1026
805.5668,293.6,1311
806.5821,291.8,4375
807.5586,288.54,463
807.5685,292.52,908
808.5258,287.92,71
820.5651,295.15,49462
59.019,343.44,52
116.9806,315.11,61
297.1515,294.69,22
328.9931,296.87,58
701.5254,288.93,236
702.5649,289.18,140
715.5262,287.32,30
789.6431,287.11,42
806.5427,287.17,260
807.529,286.6,97
807.5783,292.83,1493
808.506,287.18,138
808.5357,288.94,151
808.5455,291.93,100
808.5554,292.51,192
820.5949,294.62,43186
843.458,289.88,944
1230.9063,286.21,187
761.5554,290.65,205
761.565,290.46,506
761.5746,290.49,337
790.6093,287.54,21
797.693,287.94,21
799.6455,288.38,93
799.6554,288.5,304
799.6652,288.75,193
802.6035,292.63,8014
807.5882,292.98,1551
807.5981,293.08,994
808.5752,293.12,1507
818.5672,293.65,65425
818.5772,293.55,110584
818.5871,293.5,112640
822.5852,295.8,13275
830.5507,295.4,1309
843.4781,290.01,552
1230.89,285.34,43
61.9976,341.95,37
116.9844,315.56,27
703.5591,289.04,22
793.6092,289.76,32
798.6837,288.43,118
799.675,288.37,23
802.6133,292.6,4529
804.6113,292.78,11827
804.6211,292.81,7285
806.523,288.18,47
807.5487,288.56,103
808.585,292.96,623
810.5608,288.45,42
818.597,293.49,84528
818.607,293.54,55296
819.5808,293.63,48038
819.5907,293.63,46984
819.6006,293.71,34924
820.5551,295.29,55817
821.4704,288.24,46
821.4803,288.24,21
821.5699,295.17,24057
822.5952,295.58,8886
824.5282,289.31,528
824.5381,289.61,710
824.5481,295.64,1253
830.5907,295.52,23392
843.468,289.95,1167
844.4666,298.15,1156
146.9698,311.49,52
293.173,305.93,75
311.1679,297.07,80
311.174,297.37,40
327.9738,296.66,22
329.0057,296.62,316
329.012,296.62,208
329.0183,296.62,147
329.9763,296.59,74
329.9826,296.58,63
702.5741,289.93,25
715.5169,289.83,22
763.5688,292.5,1214
793.5994,290.09,88
802.6231,292.59,2205
803.5972,292.88,4712
803.607,292.87,3361
804.631,292.8,3906
805.5964,292.9,4685
805.6062,292.82,6051
805.6161,292.83,4071
810.5509,289.58,25
818.5573,293.76,20121
818.6169,293.71,33001
818.6268,294.8,18900
819.5708,293.7,29569
819.6106,293.85,22378
819.6205,294.14,12538
820.5452,295.35,48701
820.6049,294.72,32718
820.6148,294.81,21237
822.5653,295.68,25017
824.5182,289.11,51
843.4479,289.43,22
843.4882,289.88,110
142.0244,312.04,29
146.974,311.39,31
428.9746,295.04,145
572.984,304.08,176
717.5336,290.7,24
729.5059,292.55,292
729.5153,292.51,455
729.5247,292.89,206
731.5141,291.17,41
761.5842,290.58,104
762.5714,290.29,70
783.5669,290.24,44
803.6169,293.18,1690
804.6408,292.98,1390
805.626,292.66,2138
806.6216,292.9,996
807.6079,293.42,297
807.6178,294.61,69
817.5941,293.26,377
818.6368,296.5,11222
819.5609,293.87,8404
819.6305,295.1,6392
820.5352,295.39,24180
820.6247,294.83,12329
821.5798,294.99,20038
821.5898,294.92,17861
821.5997,295.03,14948
821.6097,295.48,10234
822.5554,295.57,26449
830.5807,295.33,25291
832.543,293.41,2075
844.4868,298.1,1700
141.029,313.17,21
588.9926,295.68,30
729.4966,291.49,21
731.5235,291.72,81
731.5329,291.48,46
755.5694,293.93,207
764.5765,292.84,286
764.5861,293.01,437
769.519,291.21,21
769.5286,291.21,46
790.58,291.08,21
802.6329,292.72,745
803.6267,293.1,608
805.6358,292.75,494
806.6314,293.09,180
808.5653,293.5,971
809.5825,293.01,60
816.6016,293.37,1480
817.604,296.61,1036
818.5374,293.24,703
818.5474,293.66,3331
818.6467,297.46,9472
819.5509,293.69,904
819.6404,296.86,3579
820.6347,294.86,6701
820.6446,295.06,3227
821.54,295.18,15217
821.55,295.27,27187
821.5599,295.24,29226
821.6196,296.23,6614
821.6296,296.69,3533
822.5454,295.45,21218
822.5753,295.72,19195
822.6052,295.62,5593
823.5714,296.04,10635
827.6316,291.62,75
830.5707,295.25,19968
830.6007,295.97,22576
830.6107,296.51,22634
830.6207,296.91,19303
831.5716,295.71,9586
831.5816,295.53,13028
831.5916,295.66,12110
832.523,293.47,1055
832.533,293.3,1726
832.5531,293.61,1338
832.5831,296.07,18419
832.5931,296.21,26005
832.6032,296.33,24417
833.5351,293.91,435
844.5776,297.76,438005
844.5876,297.88,931105
844.5977,297.96,1176524
844.6078,297.98,1070508
844.6179,298.0,830719
845.597,297.92,567433
845.6071,298.0,573454
845.6172,298.06,479823
857.6438,304.54,11946
857.6539,305.36,30715
857.6641,305.39,42214
429.9819,296.12,21
729.5341,292.78,23
763.5592,292.14,44
764.5957,292.86,140
808.5949,293.17,58
809.5726,292.97,119
816.6115,294.14,441
818.5275,293.71,299
818.6566,297.75,6201
818.6666,297.81,2978
819.541,291.95,132
819.6503,297.99,2546
819.6603,298.86,1423
820.5253,295.38,5809
820.6546,295.25,1419
822.5355,295.33,10365
822.6151,295.84,3133
823.5415,295.5,4393
823.5514,295.64,8622
823.5614,295.85,10952
823.5813,296.19,7891
823.5913,296.38,4733
823.6012,296.66,2454
824.558,296.0,4241
828.5807,297.15,4264
830.5607,295.29,8420
831.5616,295.82,2568
831.6016,296.01,10796
831.6117,296.55,10495
832.5631,295.4,1912
832.5731,295.85,8073
832.6132,296.43,18891
832.6232,296.64,12666
833.5451,293.17,276
833.5552,299.77,53
833.5852,296.51,7192
833.5952,296.63,11388
833.6053,296.75,11909
833.6153,297.04,8528
835.5612,297.67,2465
844.5675,297.71,104290
844.628,298.04,613150
844.6381,298.16,446591
845.5768,297.74,128693
845.5869,297.85,370403
845.6272,298.09,359260
