Data file,C:\Users\grego\OneDrive - University of North Carolina at Chapel Hill\Academic\Data from Kimberley\O157_Lip_Allion_5bit_Pos_001_DI3.d.DeMP.d
Frame range,11,82
Frame time range,0.281,1.780,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Fragmentation Filter: High Only
Mass,Drift,Abundance
156.09195,0.64,8
156.09629,0.64,0
156.10063,0.64,8
175.10652,0.64,32
175.11571,0.64,1066
175.14331,0.64,461
175.14791,0.64,632
175.15251,0.64,615
175.15711,0.64,403
175.16171,0.64,132
175.16631,0.64,69
175.17091,0.64,68
175.17551,0.64,17
175.18011,0.64,15
175.18931,0.64,24
175.19391,0.64,14
226.02297,0.64,32
226.02819,0.64,37
226.03342,0.64,84
244.21444,0.64,13
325.26051,0.64,26
325.26678,0.64,366
325.27305,0.64,956
325.27932,0.64,636
325.28559,0.64,438
325.29185,0.64,518
325.29812,0.64,312
325.30439,0.64,189
325.31066,0.64,155
325.31693,0.64,208
325.32320,0.64,51
325.34828,0.64,24
502.33407,0.64,29
103.11813,0.68,160
103.12166,0.68,455
103.14284,0.68,5
103.14637,0.68,1
109.09295,0.68,91
156.03550,0.68,231
156.03984,0.68,310
156.04419,0.68,619
156.04853,0.68,715
156.05287,0.68,444
156.05721,0.68,259
156.06155,0.68,231
156.06590,0.68,176
156.07024,0.68,12
156.09195,0.68,21
156.09629,0.68,12
156.10063,0.68,20
175.11111,0.68,256
175.11571,0.68,525
175.12031,0.68,145
175.13411,0.68,317
175.13871,0.68,119
175.14331,0.68,461
175.14791,0.68,659
175.15251,0.68,569
175.15711,0.68,263
175.16171,0.68,176
175.16631,0.68,54
175.17091,0.68,51
175.17551,0.68,17
175.18931,0.68,20
176.05525,0.68,122
226.01774,0.68,47
226.02297,0.68,56
226.02819,0.68,37
226.03342,0.68,93
235.06800,0.68,2
235.07333,0.68,2
235.09997,0.68,11
325.26678,0.68,147
325.27305,0.68,368
325.27932,0.68,424
325.28559,0.68,298
325.29185,0.68,330
325.29812,0.68,314
325.30439,0.68,171
325.31066,0.68,107
325.31693,0.68,199
325.32320,0.68,63
325.34828,0.68,19
326.27051,0.68,54
326.27679,0.68,172
326.28307,0.68,104
326.28935,0.68,81
326.29562,0.68,65
326.30190,0.68,48
326.30818,0.68,30
326.32702,0.68,13
326.33330,0.68,53
326.33957,0.68,53
402.35885,0.68,2
526.23116,0.68,10
620.34054,0.68,4
620.34920,0.68,6
620.35786,0.68,6
975.56311,0.68,5
103.11813,0.72,160
103.12166,0.72,455
103.14284,0.72,5
103.14637,0.72,1
109.09295,0.72,91
156.03550,0.72,231
156.03984,0.72,178
