m/z,Retention Time (sec),Drift Time (ms),Intensity,count
602.4488323513125,895.4979408284074,33.705374769230765,74909.0,169
781.5395816023561,891.5641153846224,37.871708,23130.0,78
365.2622599714746,887.7179166666758,26.613675666666666,26479.0,72
528.329238060925,893.6117731092489,30.53686729411765,53997.0,119
265.14632978121267,919.6817092511036,21.768499348017624,81739.0,227
293.1757811862619,936.843811659197,22.893784143497758,59062.0,223
276.0515124730082,893.8493225806491,19.936308,24377.0,62
369.2953085057024,895.2763541666712,26.337507000000002,12639.0,48
546.3113504689852,912.0468402777808,31.543120000000002,24135.0,144
885.5434851379632,909.6738581081116,40.75003118918919,52162.0,148
219.02841375842578,895.8153636363709,17.25978545454545,19426.0,11
419.29857541480027,905.6438205128242,27.56874830769231,75457.0,117
538.5168091203275,919.364278431375,33.247340988235294,239327.0,255
673.5248900403707,902.4600597014954,35.557969791044776,35586.0,67
220.0225728177684,917.0284453125014,17.022429375,58013.0,128
223.02789555833863,947.0627810526346,19.70106361263158,949503.0,475
220.14484926042286,942.0460887574002,20.16907398816568,85336.0,169
383.31268749010565,903.7638518518544,26.849361777777776,24386.0,54
519.3655996143493,945.6716773255844,30.906535360465117,946046.0,688
760.5061734278947,910.6296857142858,37.752494399999996,244913.0,140
861.5450891044993,926.1850434782624,40.112016,1224203.0,368
714.5374947956678,909.909766666669,36.2007212,123423.0,60
843.6456120328342,934.9740094339644,41.59668905660377,79639.0,318
236.10312548557434,947.1915976331385,20.406515644970415,95782.0,169
339.19595713375963,916.2448064516149,26.037564,10057.0,62
405.28057381309276,934.6846726457436,27.00780053811659,172116.0,223
653.4572668654017,909.2511034482827,34.598988827586204,21146.0,58
235.12272506277148,913.4459166666683,20.729286666666667,11748.0,36
411.3425070638659,914.8447755102073,28.041678857142855,14940.0,49
740.5153285141762,924.4094688995244,36.836732210526314,814407.0,209
451.4468763039839,923.5950930232568,29.293223627906976,44977.0,129
465.29714352387356,911.9450500000081,32.176977,13109.0,40
665.5404765844457,912.6181136363714,35.36894836363636,32652.0,44
616.4648788081629,949.9736122840718,34.06969639923225,1111547.0,521
626.2614979879412,926.7619455782326,32.40605371428571,47818.0,147
644.4942950418525,930.991744186048,34.76660958139535,71704.0,86
943.5469152593894,924.4055423728826,42.165998237288136,10326.0,118
232.04514507682396,929.9714651162819,18.365951441860464,61966.0,129
471.3066207717914,914.8058666666719,28.708232000000002,18256.0,30
674.5085617990981,926.4389636363645,35.15224821818182,190517.0,110
587.368109827905,925.8509687499994,35.9679534375,796074.0,128
481.41678340663333,935.620866666669,30.0726288,39983.0,105
786.5254826921785,940.3789971509996,38.41995015384615,1458037.0,351
423.4165461061484,928.7890841121499,28.60038908411215,55204.0,107
397.3308182842671,920.7599999999937,27.467710344827584,55121.0,29
149.00911314990776,940.5916649214678,16.500716356020945,15321.0,191
306.0413819264826,926.7351929824569,20.739443789473686,30568.0,57
337.30771615256526,927.1281979166694,25.46782525,98296.0,96
630.3811618814332,927.6473163265335,37.54861714285714,332671.0,98
519.3581885821607,925.7920000000086,33.6536,10366.0,21
219.02789997893606,926.838400000008,17.248896,14792.0,10
419.299076603311,959.0080226415126,27.437316226415092,286089.0,265
674.3879321197824,926.0039444444533,39.19598666666667,14649.0,18
425.3573189647266,950.4353536585394,28.33841107317073,150860.0,164
586.3673133072939,925.2270000000001,35.755524,20024.0,2
411.3420672833149,932.2455454545436,28.01130690909091,21534.0,33
630.9507084434275,942.9045230769249,24.904015015384616,11885.0,65
846.615968553069,958.1551455696242,40.93163324050633,198692.0,316
761.5777635205073,954.4112972973008,39.27836064864865,534525.0,222
439.375057773548,964.8492758620738,28.83765379310345,91364.0,174
586.3673133072939,933.80299999998,35.995092,16288.0,6
281.2466203707928,962.4358655462219,23.179713882352942,71464.0,119
395.38328946177097,941.7454905660418,27.84864996226415,61986.0,53
714.540588103461,937.9612500000037,36.489201,28155.0,16
235.12257718191677,963.2988917525814,20.767705360824742,50003.0,194
663.5625196330699,958.0182666666707,35.51380603076923,5308578.0,390
702.5368104392132,940.52655882354,36.273413647058824,82850.0,34
728.5548215035283,955.3675416666712,37.267797,137900.0,144
849.545600071818,943.1116515151591,39.782807272727275,137382.0,66
449.431560459167,943.9185000000051,29.247259999999997,10364.0,48
367.30302386478604,960.1773089887663,26.649248224719102,64285.0,178
522.4831705021815,947.768931506852,32.67477797260274,15405.0,73
698.4673138597074,952.734316666669,37.055180400000005,74706.0,60
232.04536538786152,966.6708527607393,18.399704245398773,73881.0,163
467.3353393733448,962.5216261682282,30.008690691588786,22624.0,107
687.5362628881104,951.3217894736842,36.52781557894737,44423.0,19
339.2967876011053,958.2376402877727,25.632052489208636,81277.0,139
774.5282587476428,962.010486842111,38.010930631578944,83757.0,76
966.7859840523904,968.3705279187847,44.543230903553294,12316.0,197
265.1463672836495,973.1277590361483,21.748011903614458,59618.0,166
702.5368443938099,975.0043874538783,36.198194391143915,4555806.0,271
745.565465147,960.467849999997,38.78007,29332.0,20
546.3116044605279,967.154820895526,31.542524059701492,12505.0,67
746.5265622726137,966.6808295454572,37.59311945454545,65319.0,88
847.5634841492323,966.4543333333352,39.83712937931035,47597.0,87
438.292905422525,977.0794337349437,28.019353734939763,297099.0,166
220.02343291546524,964.2480689655166,17.058893793103447,10223.0,29
869.6693397720474,976.3594555555588,41.98872844444444,78110.0,270
602.2978006141043,975.566424778765,32.51022562831858,25335.0,113
863.5590664267256,980.2944046511674,40.26469518139535,529408.0,215
535.5190522301597,974.7996565656593,33.31568121212121,39252.0,99
345.0855873253466,977.1292830188728,25.543372981132073,13272.0,53
353.3381151571128,976.4452968750052,26.33376375,58746.0,128
784.5412755859065,978.0664255319186,38.81256459574468,180397.0,141
724.560266842433,977.6532173913088,37.324,48086.0,69
542.2773674356655,978.3139090909132,30.29174018181818,10125.0,44
377.24163624652016,980.6657391304369,25.868136,11411.0,46
460.2767710595366,978.744784313727,29.23434211764706,12422.0,51
536.5010135674587,984.4888245614085,33.11712378947369,26865.0,57
772.5461490787894,983.5783793103454,38.02935475862069,11036.0,29
689.5768176463287,986.2048648648718,36.786637621621615,285615.0,37
630.4796895584732,985.2777358490615,34.48423154716981,18102.0,53
788.53473860253,987.6131785714372,38.41644,33417.0,28
